amt,fytd,comp_per_pfy,fy,month,rec,outlay,source_func_parent
82385.0,0.0,0.0,20hl,nt,False,False,Deficit
0.0,365157.0,0.0,20hl,nt,False,False,Deficit
288204.0,929638.0,823079.0,2015,04,True,False,Individual Income Taxes
43230.0,175345.0,156808.0,2015,04,True,False,Corporation Income Taxes
106733.0,596620.0,573075.0,2015,04,True,False,Social Insurance and Retirement Receipts
9496.0,26471.0,27639.0,2015,04,True,False,Social Insurance and Retirement Receipts
301.0,2105.0,1984.0,2015,04,True,False,Social Insurance and Retirement Receipts
6172.0,45584.0,45866.0,2015,04,True,False,Excise Taxes
3245.0,12156.0,11150.0,2015,04,True,False,Estate and Gift Taxes
3430.0,20845.0,19691.0,2015,04,True,False,Customs Duties
10990.0,82838.0,77556.0,2015,04,True,False,Miscellaneous Receipts
471801.0,1891601.0,1736850.0,2015,04,True,False,Total
48150.0,346826.0,357664.0,2015,04,False,True,National Defense
2237.0,30690.0,26389.0,2015,04,False,True,International Affairs
2244.0,16433.0,15976.0,2015,04,False,True,"General Science, Space, and Technology"
707.0,4222.0,1868.0,2015,04,False,True,Energy
2400.0,18571.0,19897.0,2015,04,False,True,Natural Resources and Environment
562.0,19584.0,22469.0,2015,04,False,True,Agriculture
2081.0,-16570.0,-71528.0,2015,04,False,True,Commerce and Housing Credit
5987.0,46839.0,49938.0,2015,04,False,True,Transportation
1273.0,12808.0,12398.0,2015,04,False,True,Community and Regional Development
8489.0,60193.0,49545.0,2015,04,False,True,"Education, Training, Employment, and Social Services"
39060.0,271616.0,225397.0,2015,04,False,True,Health
44715.0,313250.0,289500.0,2015,04,False,True,Medicare
44908.0,331934.0,337455.0,2015,04,False,True,Income Security
74100.0,510577.0,489011.0,2015,04,False,True,Social Security
13420.0,92139.0,87390.0,2015,04,False,True,Veterans Benefits and Services
4181.0,30883.0,29959.0,2015,04,False,True,Administration of Justice
1440.0,7419.0,13046.0,2015,04,False,True,General Government
25121.0,131950.0,142010.0,2015,04,False,True,Net Interest
-5987.0,-54998.0,-55123.0,2015,04,False,True,Undistributed Offsetting Receipts
315087.0,2174368.0,2043262.0,2015,04,False,True,Total
,,,2015,04,False,True,Note: Details may not add to totals due to rounding.
-156714.0,0.0,0.0,20hl,nt,False,False,Deficit
0.0,282767.0,0.0,20hl,nt,False,False,Deficit
